transaction_id,user_id,amount,amount_usd,currency,category,merchant,merchant_location,payment_method,transaction_date,is_fraud,fraud_type,description,day_of_week,hour,month
T00003726,U00071,836860.86,52.97,IDR,Entertainment,Gaming,"Jakarta, Indonesia",Debit Card,2024-01-02 11:00:06,0.0,,Entertainment purchase at Gaming,Tuesday,11.0,1.0
T00003535,U00111,1478.61,205.36,CNY,Shopping,Mall Store,"Guangzhou, China",Debit Card,2024-01-02 11:23:14,0.0,,Shopping purchase at Mall Store,Tuesday,11.0,1.0
T00005291,U00189,1164312.86,73.69,IDR,Utilities,Internet Provider,"Jakarta, Indonesia",Credit Card,2024-01-02 12:01:45,0.0,,Utilities purchase at Internet Provider,Tuesday,12.0,1.0
T00000316,U00242,355.54,355.54,USD,Shopping,Best Buy,"Los Angeles, USA",Bank Transfer,2024-01-02 13:58:26,0.0,,Shopping purchase at Best Buy,Tuesday,13.0,1.0
T00000592,U00156,2336.97,324.58,CNY,Insurance,Insurance Corp,"Guangzhou, China",Debit Card,2024-01-02 14:19:49,0.0,,Insurance purchase at Insurance Corp,Tuesday,14.0,1.0
T00011676,U00041,119.61,119.61,USD,Hobbies,Book Store,"New York, USA",Credit Card,2024-01-02 15:50:46,0.0,,Hobbies purchase at Book Store,Tuesday,15.0,1.0
T00007385,U00218,1818388.04,115.09,IDR,Groceries,Kroger,"Jakarta, Indonesia",Digital Wallet,2024-01-02 16:44:57,0.0,,Groceries purchase at Kroger,Tuesday,16.0,1.0
T00009001,U00198,133.25,133.25,USD,Transportation,Gas Station,"Los Angeles, USA",Bank Transfer,2024-01-02 17:49:52,0.0,,Transportation purchase at Gas Station,Tuesday,17.0,1.0
T00000903,U00144,101.76,101.76,USD,Hobbies,Music Store,"New York, USA",Debit Card,2024-01-02 17:56:39,0.0,,Hobbies purchase at Music Store,Tuesday,17.0,1.0
T00003591,U00176,144.39,144.39,USD,Shopping,Best Buy,"New York, USA",Digital Wallet,2024-01-02 18:16:44,0.0,,Shopping purchase at Best Buy,Tuesday,18.0,1.0
T00006045,U00165,49.11,49.11,USD,Entertainment,Streaming Service,"Chicago, USA",Debit Card,2024-01-02 19:44:14,0.0,,Entertainment purchase at Streaming Service,Tuesday,19.0,1.0
T00002544,U00202,1406.9,1406.9,USD,Rent,Housing Complex,"Los Angeles, USA",Digital Wallet,2024-01-02 21:42:37,1.0,rapid_succession,Rent purchase at Housing Complex,Tuesday,21.0,1.0
T00012406,U00107,195.97,195.97,USD,Emergency Fund,Emergency Savings,"Chicago, USA",Debit Card,2024-01-03 02:55:07,0.0,,Emergency Fund purchase at Emergency Savings,Wednesday,2.0,1.0
T00007761,U00147,68.74,68.74,USD,Transportation,Public Transit,"Chicago, USA",Credit Card,2024-01-03 09:03:16,0.0,,Transportation purchase at Public Transit,Wednesday,9.0,1.0
T00009848,U00157,347.52,48.27,CNY,Dining,Restaurant A,"Beijing, China",Digital Wallet,2024-01-03 09:48:34,0.0,,Dining purchase at Restaurant A,Wednesday,9.0,1.0
T00012981,U00169,409.91,409.91,CNY,Savings,High Yield Savings,"Shanghai, China",Credit Card,2024-01-03 09:59:04,1.0,foreign_location,Savings purchase at High Yield Savings,Wednesday,9.0,1.0
T00014736,U00043,145.48,145.48,USD,Utilities,Electric Co,"New York, USA",Digital Wallet,2024-01-03 09:59:36,0.0,,Utilities purchase at Electric Co,Wednesday,9.0,1.0
T00001739,U00227,1886.21,261.97,CNY,Shopping,Amazon,"Beijing, China",Credit Card,2024-01-03 10:38:00,0.0,,Shopping purchase at Amazon,Wednesday,10.0,1.0
T00011461,U00194,108.06,108.06,USD,Utilities,Gas Company,"Chicago, USA",Digital Wallet,2024-01-03 10:49:06,0.0,,Utilities purchase at Gas Company,Wednesday,10.0,1.0
T00014842,U00108,236.6,236.6,USD,Emergency Fund,Emergency Savings,"Chicago, USA",Debit Card,2024-01-03 12:54:22,0.0,,Emergency Fund purchase at Emergency Savings,Wednesday,12.0,1.0
T00012669,U00057,314.37,314.37,USD,Savings,Savings Account,"Chicago, USA",Digital Wallet,2024-01-03 14:33:22,0.0,,Savings purchase at Savings Account,Wednesday,14.0,1.0
T00006653,U00181,2837480.23,179.59,IDR,Emergency Fund,Emergency Savings,"Jakarta, Indonesia",Digital Wallet,2024-01-03 16:46:49,0.0,,Emergency Fund purchase at Emergency Savings,Wednesday,16.0,1.0
T00009671,U00155,152.0,152.0,USD,Hobbies,Book Store,"Los Angeles, USA",Digital Wallet,2024-01-03 16:53:09,0.0,,Hobbies purchase at Book Store,Wednesday,16.0,1.0
T00000595,U00011,1033.14,143.49,CNY,Shopping,Best Buy,"Beijing, China",Credit Card,2024-01-03 17:52:15,0.0,,Shopping purchase at Best Buy,Wednesday,17.0,1.0
T00003019,U00062,7433987.94,470.51,IDR,Emergency Fund,Emergency Savings,"Bandung, Indonesia",Bank Transfer,2024-01-03 19:16:21,0.0,,Emergency Fund purchase at Emergency Savings,Wednesday,19.0,1.0
T00001850,U00055,1575.5,218.82,CNY,Hobbies,Book Store,"Guangzhou, China",Debit Card,2024-01-03 19:52:43,0.0,,Hobbies purchase at Book Store,Wednesday,19.0,1.0
T00011774,U00118,813.5,813.5,USD,Investment,Crypto Exchange,"Los Angeles, USA",Bank Transfer,2024-01-03 21:39:22,0.0,,Investment purchase at Crypto Exchange,Wednesday,21.0,1.0
T00012784,U00061,779.69,779.69,USD,Savings,High Yield Savings,"Chicago, USA",Debit Card,2024-01-04 06:26:05,0.0,,Savings purchase at High Yield Savings,Thursday,6.0,1.0
T00006426,U00002,365.41,365.41,USD,Insurance,Health Insurance,"Chicago, USA",Digital Wallet,2024-01-04 09:09:08,0.0,,Insurance purchase at Health Insurance,Thursday,9.0,1.0
T00003396,U00140,2324.96,322.91,CNY,Savings,High Yield Savings,"Shanghai, China",Debit Card,2024-01-04 09:53:57,0.0,,Savings purchase at High Yield Savings,Thursday,9.0,1.0
T00012387,U00115,1657203.3,104.89,IDR,Entertainment,Cinema,"Surabaya, Indonesia",Bank Transfer,2024-01-04 11:24:34,0.0,,Entertainment purchase at Cinema,Thursday,11.0,1.0
T00008701,U00198,1951361.94,123.5,IDR,Savings,Savings Account,"Surabaya, Indonesia",Bank Transfer,2024-01-04 13:31:02,1.0,rapid_succession,Savings purchase at Savings Account,Thursday,13.0,1.0
T00006492,U00020,1312.91,182.35,CNY,Hobbies,Music Store,"Shanghai, China",Digital Wallet,2024-01-04 13:34:46,0.0,,Hobbies purchase at Music Store,Thursday,13.0,1.0
T00003908,U00132,2489071.7,157.54,IDR,Healthcare,Pharmacy,"Bandung, Indonesia",Digital Wallet,2024-01-04 13:54:19,0.0,,Healthcare purchase at Pharmacy,Thursday,13.0,1.0
T00003917,U00170,1092.6,151.75,CNY,Entertainment,Streaming Service,"Guangzhou, China",Bank Transfer,2024-01-04 13:54:34,0.0,,Entertainment purchase at Streaming Service,Thursday,13.0,1.0
T00013692,U00179,1053.5,146.32,CNY,Groceries,Safeway,"Guangzhou, China",Bank Transfer,2024-01-04 13:58:57,0.0,,Groceries purchase at Safeway,Thursday,13.0,1.0
T00006251,U00190,914.09,126.96,CNY,Transportation,Public Transit,"Beijing, China",Digital Wallet,2024-01-04 15:52:16,0.0,,Transportation purchase at Public Transit,Thursday,15.0,1.0
T00004717,U00120,1995467.97,126.3,IDR,Utilities,Gas Company,"Surabaya, Indonesia",Credit Card,2024-01-04 16:18:36,0.0,,Utilities purchase at Gas Company,Thursday,16.0,1.0
T00004396,U00126,149.26,149.26,USD,Entertainment,Streaming Service,"Los Angeles, USA",Credit Card,2024-01-04 17:08:16,0.0,,Entertainment purchase at Streaming Service,Thursday,17.0,1.0
T00010972,U00012,614.4,85.33,CNY,Transportation,Public Transit,"Guangzhou, China",Credit Card,2024-01-04 18:25:01,0.0,,Transportation purchase at Public Transit,Thursday,18.0,1.0
T00014609,U00125,394.44,394.44,USD,Travel,Airline,"Chicago, USA",Digital Wallet,2024-01-04 19:29:08,0.0,,Travel purchase at Airline,Thursday,19.0,1.0
T00005479,U00108,101.08,101.08,USD,Entertainment,Concert Hall,"Chicago, USA",Bank Transfer,2024-01-04 20:00:30,0.0,,Entertainment purchase at Concert Hall,Thursday,20.0,1.0
T00012593,U00056,735.85,102.2,CNY,Dining,Cafe B,"Beijing, China",Bank Transfer,2024-01-04 21:45:34,0.0,,Dining purchase at Cafe B,Thursday,21.0,1.0
T00009846,U00228,2494175.63,157.86,IDR,Emergency Fund,Emergency Savings,"Surabaya, Indonesia",Credit Card,2024-01-04 23:28:16,0.0,,Emergency Fund purchase at Emergency Savings,Thursday,23.0,1.0
T00001306,U00155,139187.84,8.81,IDR,Entertainment,Concert Hall,"Jakarta, Indonesia",Digital Wallet,2024-01-05 06:42:15,0.0,,Entertainment purchase at Concert Hall,Friday,6.0,1.0
T00013627,U00055,1211.11,168.21,CNY,Healthcare,Doctor Office,"Beijing, China",Digital Wallet,2024-01-05 07:35:22,0.0,,Healthcare purchase at Doctor Office,Friday,7.0,1.0
T00014490,U00211,676.78,676.78,USD,Emergency Fund,Emergency Savings,"Los Angeles, USA",Digital Wallet,2024-01-05 08:23:39,0.0,,Emergency Fund purchase at Emergency Savings,Friday,8.0,1.0
T00006199,U00114,132.47,132.47,USD,Savings,High Yield Savings,"Los Angeles, USA",Debit Card,2024-01-05 09:33:58,0.0,,Savings purchase at High Yield Savings,Friday,9.0,1.0
T00002336,U00140,1072.9,149.01,CNY,Utilities,Gas Company,"Beijing, China",Credit Card,2024-01-05 10:26:39,0.0,,Utilities purchase at Gas Company,Friday,10.0,1.0
T00001069,U00117,558.37,558.37,USD,Emergency Fund,Emergency Savings,"Chicago, USA",Credit Card,2024-01-05 10:35:36,0.0,,Emergency Fund purchase at Emergency Savings,Friday,10.0,1.0
T00009268,U00120,10393.36,1443.52,CNY,Rent,Housing Complex,"Beijing, China",Digital Wallet,2024-01-05 10:45:11,0.0,,Rent purchase at Housing Complex,Friday,10.0,1.0
T00009150,U00020,281.62,281.62,USD,Insurance,Insurance Corp,"Chicago, USA",Credit Card,2024-01-05 10:50:41,0.0,,Insurance purchase at Insurance Corp,Friday,10.0,1.0
T00012961,U00166,4470321.39,282.93,IDR,Shopping,Target,"Surabaya, Indonesia",Credit Card,2024-01-05 12:13:34,0.0,,Shopping purchase at Target,Friday,12.0,1.0
T00002237,U00250,235.83,235.83,USD,Healthcare,Health Clinic,"New York, USA",Digital Wallet,2024-01-05 12:19:41,0.0,,Healthcare purchase at Health Clinic,Friday,12.0,1.0
T00009019,U00071,542.62,542.62,CNY,Investment,Mutual Fund,"Shanghai, China",Credit Card,2024-01-05 13:01:49,1.0,foreign_location,Investment purchase at Mutual Fund,Friday,13.0,1.0
T00004985,U00095,3310344.12,209.52,IDR,Shopping,Target,"Jakarta, Indonesia",Bank Transfer,2024-01-05 13:26:05,0.0,,Shopping purchase at Target,Friday,13.0,1.0
T00002610,U00177,185.08,185.08,USD,Hobbies,Sports Store,"Chicago, USA",Bank Transfer,2024-01-05 13:48:33,0.0,,Hobbies purchase at Sports Store,Friday,13.0,1.0
T00004562,U00066,144.64,144.64,USD,Hobbies,Sports Store,"New York, USA",Digital Wallet,2024-01-05 15:41:38,0.0,,Hobbies purchase at Sports Store,Friday,15.0,1.0
T00001610,U00115,5614098.2,355.32,IDR,Travel,Travel Agency,"Surabaya, Indonesia",Debit Card,2024-01-05 16:24:10,0.0,,Travel purchase at Travel Agency,Friday,16.0,1.0
T00011130,U00211,249.15,249.15,USD,Emergency Fund,Emergency Savings,"New York, USA",Credit Card,2024-01-05 16:42:59,0.0,,Emergency Fund purchase at Emergency Savings,Friday,16.0,1.0
T00008223,U00034,836311.95,52.93,IDR,Dining,Restaurant A,"Bandung, Indonesia",Credit Card,2024-01-05 16:58:39,0.0,,Dining purchase at Restaurant A,Friday,16.0,1.0
T00014143,U00074,771.1,107.1,CNY,Investment,Stock Broker,"Beijing, China",Bank Transfer,2024-01-05 18:01:35,0.0,,Investment purchase at Stock Broker,Friday,18.0,1.0
T00003880,U00071,174.1,174.1,USD,Utilities,Gas Company,"Chicago, USA",Credit Card,2024-01-05 18:11:36,0.0,,Utilities purchase at Gas Company,Friday,18.0,1.0
T00007433,U00049,6337.02,880.14,CNY,Investment,Mutual Fund,"Shanghai, China",Credit Card,2024-01-05 18:39:28,0.0,,Investment purchase at Mutual Fund,Friday,18.0,1.0
T00010051,U00084,96.51,96.51,USD,Transportation,Public Transit,"Los Angeles, USA",Digital Wallet,2024-01-05 18:46:29,0.0,,Transportation purchase at Public Transit,Friday,18.0,1.0
T00004212,U00168,321.56,321.56,USD,Investment,Stock Broker,"New York, USA",Credit Card,2024-01-05 19:01:42,0.0,,Investment purchase at Stock Broker,Friday,19.0,1.0
T00010067,U00100,192.87,192.87,USD,Shopping,Best Buy,"Chicago, USA",Debit Card,2024-01-05 19:06:27,0.0,,Shopping purchase at Best Buy,Friday,19.0,1.0
T00010961,U00131,1103.58,1103.58,USD,Rent,Housing Complex,"New York, USA",Debit Card,2024-01-05 19:15:17,0.0,,Rent purchase at Housing Complex,Friday,19.0,1.0
T00004816,U00042,125.44,125.44,USD,Dining,Restaurant A,"New York, USA",Credit Card,2024-01-05 19:40:07,0.0,,Dining purchase at Restaurant A,Friday,19.0,1.0
T00010948,U00126,87.27,87.27,USD,Dining,Restaurant A,"Los Angeles, USA",Debit Card,2024-01-05 22:45:58,0.0,,Dining purchase at Restaurant A,Friday,22.0,1.0
T00014157,U00124,84.03,84.03,USD,Entertainment,Cinema,"Chicago, USA",Credit Card,2024-01-05 22:57:41,0.0,,Entertainment purchase at Cinema,Friday,22.0,1.0
T00000149,U00170,852.87,118.45,CNY,Entertainment,Gaming,"Shanghai, China",Bank Transfer,2024-01-06 01:16:40,0.0,,Entertainment purchase at Gaming,Saturday,1.0,1.0
T00005523,U00060,1288.15,178.91,CNY,Groceries,Kroger,"Guangzhou, China",Credit Card,2024-01-06 03:51:59,1.0,unusual_time,Groceries purchase at Kroger,Saturday,3.0,1.0
T00000626,U00064,9797751.38,620.11,IDR,Savings,High Yield Savings,"Surabaya, Indonesia",Credit Card,2024-01-06 04:33:48,1.0,unusual_time,Savings purchase at High Yield Savings,Saturday,4.0,1.0
T00012869,U00237,157.33,157.33,USD,Transportation,Parking,"Chicago, USA",Digital Wallet,2024-01-06 06:44:58,0.0,,Transportation purchase at Parking,Saturday,6.0,1.0
T00000640,U00188,76.34,76.34,USD,Transportation,Parking,"New York, USA",Bank Transfer,2024-01-06 09:26:03,0.0,,Transportation purchase at Parking,Saturday,9.0,1.0
T00007121,U00049,4013455.58,254.02,IDR,Emergency Fund,Emergency Savings,"Bandung, Indonesia",Bank Transfer,2024-01-06 09:30:10,0.0,,Emergency Fund purchase at Emergency Savings,Saturday,9.0,1.0
T00000507,U00035,53.53,53.53,USD,Savings,High Yield Savings,"Los Angeles, USA",Debit Card,2024-01-06 10:03:33,0.0,,Savings purchase at High Yield Savings,Saturday,10.0,1.0
T00003051,U00056,8606506.69,544.72,IDR,Investment,Stock Broker,"Jakarta, Indonesia",Digital Wallet,2024-01-06 10:30:30,0.0,,Investment purchase at Stock Broker,Saturday,10.0,1.0
T00002951,U00204,65.77,65.77,USD,Utilities,Electric Co,"New York, USA",Bank Transfer,2024-01-06 10:46:46,0.0,,Utilities purchase at Electric Co,Saturday,10.0,1.0
T00000227,U00027,11792.73,1637.88,CNY,Rent,Landlord Payment,"Guangzhou, China",Digital Wallet,2024-01-06 11:38:58,0.0,,Rent purchase at Landlord Payment,Saturday,11.0,1.0
T00001736,U00178,617.58,617.58,USD,Travel,Hotel,"New York, USA",Digital Wallet,2024-01-06 11:50:04,0.0,,Travel purchase at Hotel,Saturday,11.0,1.0
T00008072,U00170,3280.97,455.69,CNY,Savings,Savings Account,"Guangzhou, China",Digital Wallet,2024-01-06 13:19:12,0.0,,Savings purchase at Savings Account,Saturday,13.0,1.0
T00008859,U00189,343.86,343.86,USD,Emergency Fund,Emergency Savings,"New York, USA",Digital Wallet,2024-01-06 13:51:45,0.0,,Emergency Fund purchase at Emergency Savings,Saturday,13.0,1.0
T00007827,U00190,437.95,60.83,CNY,Dining,Diner D,"Beijing, China",Digital Wallet,2024-01-06 15:13:11,0.0,,Dining purchase at Diner D,Saturday,15.0,1.0
T00014831,U00081,848.1,117.79,CNY,Shopping,Mall Store,"Beijing, China",Bank Transfer,2024-01-06 15:22:08,0.0,,Shopping purchase at Mall Store,Saturday,15.0,1.0
T00006859,U00091,2898520.81,183.45,IDR,Groceries,Kroger,"Bandung, Indonesia",Digital Wallet,2024-01-06 15:46:03,0.0,,Groceries purchase at Kroger,Saturday,15.0,1.0
T00011963,U00139,55.01,55.01,USD,Healthcare,Health Clinic,"Chicago, USA",Bank Transfer,2024-01-06 16:12:19,0.0,,Healthcare purchase at Health Clinic,Saturday,16.0,1.0
T00013137,U00241,1766.8,245.39,CNY,Hobbies,Music Store,"Guangzhou, China",Digital Wallet,2024-01-06 16:12:59,0.0,,Hobbies purchase at Music Store,Saturday,16.0,1.0
T00013891,U00197,974548.81,61.68,IDR,Entertainment,Concert Hall,"Jakarta, Indonesia",Debit Card,2024-01-06 16:19:48,0.0,,Entertainment purchase at Concert Hall,Saturday,16.0,1.0
T00011429,U00032,30.71,30.71,USD,Entertainment,Streaming Service,"Los Angeles, USA",Bank Transfer,2024-01-06 17:04:15,0.0,,Entertainment purchase at Streaming Service,Saturday,17.0,1.0
T00006891,U00101,190.87,190.87,USD,Savings,Savings Account,"New York, USA",Digital Wallet,2024-01-06 17:19:23,0.0,,Savings purchase at Savings Account,Saturday,17.0,1.0
T00005577,U00045,150.46,150.46,USD,Utilities,Electric Co,"Chicago, USA",Bank Transfer,2024-01-06 18:11:48,0.0,,Utilities purchase at Electric Co,Saturday,18.0,1.0
T00010270,U00025,1623137.65,102.73,IDR,Utilities,Internet Provider,"Surabaya, Indonesia",Digital Wallet,2024-01-06 18:34:15,0.0,,Utilities purchase at Internet Provider,Saturday,18.0,1.0
T00010561,U00008,1465.1,1465.1,USD,Rent,Housing Complex,"Chicago, USA",Digital Wallet,2024-01-06 19:14:46,0.0,,Rent purchase at Housing Complex,Saturday,19.0,1.0
T00002278,U00027,7540347.81,477.24,IDR,Savings,High Yield Savings,"Surabaya, Indonesia",Bank Transfer,2024-01-06 19:54:04,0.0,,Savings purchase at High Yield Savings,Saturday,19.0,1.0
T00012224,U00007,8.69,8.69,USD,Emergency Fund,Emergency Savings,"Los Angeles, USA",Debit Card,2024-01-06 20:29:43,0.0,,Emergency Fund purchase at Emergency Savings,Saturday,20.0,1.0
T00001870,U00002,169.92,169.92,USD,Transportation,Parking,"New York, USA",Credit Card,2024-01-07 00:47:13,0.0,,Transportation purchase at Parking,Sunday,0.0,1.0
T00008920,U00115,2150.49,298.68,CNY,Emergency Fund,Emergency Savings,"Shanghai, China",Credit Card,2024-01-07 02:54:18,0.0,,Emergency Fund purchase at Emergency Savings,Sunday,2.0,1.0
T00007914,U00075,121.48,121.48,USD,Utilities,Electric Co,"New York, USA",Credit Card,2024-01-07 08:08:17,0.0,,Utilities purchase at Electric Co,Sunday,8.0,1.0
T00006002,U00136,1541.77,214.14,CNY,Healthcare,Pharmacy,"Guangzhou, China",Debit Card,2024-01-07 08:16:20,0.0,,Healthcare purchase at Pharmacy,Sunday,8.0,1.0
T00011408,U00010,328.02,328.02,USD,Travel,Hotel,"New York, USA",Digital Wallet,2024-01-07 09:58:50,0.0,,Travel purchase at Hotel,Sunday,9.0,1.0
T00011063,U00113,1056.15,146.69,CNY,Utilities,Internet Provider,"Guangzhou, China",Digital Wallet,2024-01-07 10:42:40,0.0,,Utilities purchase at Internet Provider,Sunday,10.0,1.0
T00008234,U00029,994.46,138.12,CNY,Transportation,Parking,"Guangzhou, China",Digital Wallet,2024-01-07 12:15:48,0.0,,Transportation purchase at Parking,Sunday,12.0,1.0
T00008644,U00091,4496451.83,284.59,IDR,Insurance,Health Insurance,"Jakarta, Indonesia",Debit Card,2024-01-07 13:21:40,0.0,,Insurance purchase at Health Insurance,Sunday,13.0,1.0
T00012721,U00037,261.05,261.05,USD,Healthcare,City Hospital,"Los Angeles, USA",Bank Transfer,2024-01-07 14:31:39,0.0,,Healthcare purchase at City Hospital,Sunday,14.0,1.0
T00014940,U00048,3984926.68,252.21,IDR,Healthcare,City Hospital,"Bandung, Indonesia",Digital Wallet,2024-01-07 14:52:29,0.0,,Healthcare purchase at City Hospital,Sunday,14.0,1.0
T00006693,U00225,744.69,103.43,CNY,Healthcare,Health Clinic,"Guangzhou, China",Digital Wallet,2024-01-07 15:28:10,0.0,,Healthcare purchase at Health Clinic,Sunday,15.0,1.0
T00009038,U00227,630.34,87.55,CNY,Hobbies,Book Store,"Guangzhou, China",Debit Card,2024-01-07 15:44:22,0.0,,Hobbies purchase at Book Store,Sunday,15.0,1.0
T00000002,U00177,158.81,158.81,USD,Shopping,Best Buy,"Chicago, USA",Bank Transfer,2024-01-07 16:32:22,0.0,,Shopping purchase at Best Buy,Sunday,16.0,1.0
T00005761,U00114,354.02,354.02,USD,Savings,High Yield Savings,"Chicago, USA",Credit Card,2024-01-07 16:51:03,0.0,,Savings purchase at High Yield Savings,Sunday,16.0,1.0
T00005282,U00057,154.4,154.4,USD,Hobbies,Craft Shop,"New York, USA",Digital Wallet,2024-01-07 17:15:37,0.0,,Hobbies purchase at Craft Shop,Sunday,17.0,1.0
T00006729,U00228,3967006.01,251.08,IDR,Groceries,Kroger,"Jakarta, Indonesia",Credit Card,2024-01-07 18:19:09,0.0,,Groceries purchase at Kroger,Sunday,18.0,1.0
T00011956,U00222,2183623.41,138.2,IDR,Groceries,Safeway,"Bandung, Indonesia",Credit Card,2024-01-07 18:53:56,0.0,,Groceries purchase at Safeway,Sunday,18.0,1.0
T00007365,U00122,1805583.69,114.28,IDR,Transportation,Parking,"Jakarta, Indonesia",Bank Transfer,2024-01-07 18:59:34,0.0,,Transportation purchase at Parking,Sunday,18.0,1.0
T00009172,U00080,429.18,429.18,USD,Healthcare,City Hospital,"Los Angeles, USA",Debit Card,2024-01-07 20:22:45,0.0,,Healthcare purchase at City Hospital,Sunday,20.0,1.0
T00001020,U00045,160.54,160.54,USD,Healthcare,Pharmacy,"Chicago, USA",Credit Card,2024-01-07 20:55:00,0.0,,Healthcare purchase at Pharmacy,Sunday,20.0,1.0
T00004417,U00084,89.72,89.72,USD,Dining,Diner D,"New York, USA",Bank Transfer,2024-01-07 20:58:01,0.0,,Dining purchase at Diner D,Sunday,20.0,1.0
T00003821,U00222,1090264.41,69.0,IDR,Transportation,Parking,"Surabaya, Indonesia",Debit Card,2024-01-07 21:16:30,0.0,,Transportation purchase at Parking,Sunday,21.0,1.0
T00002017,U00136,200.0,33.99,CNY,Transportation,Public Transit,"Beijing, China",Debit Card,2024-01-07 23:09:10,1.0,round_amount,Transportation purchase at Public Transit,Sunday,23.0,1.0
T00012153,U00240,1618333.06,102.43,IDR,Utilities,Internet Provider,"Jakarta, Indonesia",Bank Transfer,2024-01-08 08:11:32,0.0,,Utilities purchase at Internet Provider,Monday,8.0,1.0
